key,value,timestamp,sentence
Neutral,0.2968,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
Positive,0.0440,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
Very Positive,0.0180,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
Very Negative,0.0290,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
Negative,0.3664,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
Neutral,0.5005,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
Positive,0.0936,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
Very Positive,0.0105,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
Very Negative,0.0882,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
Negative,0.4898,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
Neutral,0.3551,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
Positive,0.0501,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
Very Positive,0.0168,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
Very Negative,0.0295,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
Negative,0.1964,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
Neutral,0.5688,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
Positive,0.1775,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
Very Positive,0.0278,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
Very Negative,0.0907,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
Negative,0.4947,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
Neutral,0.3125,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
Positive,0.0783,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
Very Positive,0.0239,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
Very Negative,0.0946,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
Negative,0.6949,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
Neutral,0.1308,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
Positive,0.0650,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
Very Positive,0.0147,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
Very Negative,0.0696,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
Negative,0.3353,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
Neutral,0.3292,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
Positive,0.2144,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
Very Positive,0.0515,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
Very Negative,0.0644,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
Negative,0.2323,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
Neutral,0.2684,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
Positive,0.3481,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
Very Positive,0.0868,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
Very Negative,0.0483,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
Negative,0.3392,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
Neutral,0.4825,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
Positive,0.1077,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
Very Positive,0.0222,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
Very Negative,0.0245,"00:01:50,152 --> 00:01:51,778","Please confirm link."
Negative,0.1865,"00:01:50,152 --> 00:01:51,778","Please confirm link."
Neutral,0.6973,"00:01:50,152 --> 00:01:51,778","Please confirm link."
Positive,0.0818,"00:01:50,152 --> 00:01:51,778","Please confirm link."
Very Positive,0.0098,"00:01:50,152 --> 00:01:51,778","Please confirm link."
Very Negative,0.2611,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
Negative,0.5718,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
Neutral,0.1408,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
Positive,0.0131,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
Very Positive,0.0132,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
Very Negative,0.2041,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
Negative,0.5700,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
Neutral,0.1934,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
Positive,0.0200,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
Very Positive,0.0125,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
Very Negative,0.0208,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
Negative,0.1131,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
Neutral,0.5168,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
Positive,0.3098,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
Very Positive,0.0395,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
Very Negative,0.2305,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
Negative,0.5933,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
Neutral,0.1432,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
Positive,0.0202,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
Very Positive,0.0127,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
Very Negative,0.0378,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
Negative,0.2799,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
Neutral,0.5574,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
Positive,0.1049,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
Very Positive,0.0198,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
Very Negative,0.0717,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
Negative,0.2683,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
Neutral,0.2627,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
Positive,0.3039,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
Very Positive,0.0934,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
Very Negative,0.0410,"00:02:06,877 --> 00:02:10,213","It was '96."
Negative,0.2778,"00:02:06,877 --> 00:02:10,213","It was '96."
Neutral,0.5299,"00:02:06,877 --> 00:02:10,213","It was '96."
Positive,0.1342,"00:02:06,877 --> 00:02:10,213","It was '96."
Very Positive,0.0172,"00:02:06,877 --> 00:02:10,213","It was '96."
Very Negative,0.0229,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
Negative,0.1457,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
Neutral,0.5943,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
Positive,0.2137,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
Very Positive,0.0233,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
Very Negative,0.1305,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
Negative,0.6112,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
Neutral,0.1946,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
Positive,0.0467,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
Very Positive,0.0170,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
Very Negative,0.0903,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
Negative,0.5094,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
Neutral,0.3469,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
Positive,0.0411,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
Very Positive,0.0123,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
Very Negative,0.0866,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
Negative,0.4338,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
Neutral,0.2774,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
Positive,0.1628,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
Very Positive,0.0394,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
Very Negative,0.1854,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
Negative,0.5274,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
Neutral,0.2583,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
Positive,0.0167,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
Very Positive,0.0122,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
Very Negative,0.0011,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
Negative,0.0007,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
Neutral,0.0039,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
Positive,0.5046,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
Very Positive,0.4897,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
Very Negative,0.0425,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
Negative,0.2081,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
Neutral,0.4529,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
Positive,0.2493,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
Very Positive,0.0472,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
Very Negative,0.0434,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
Negative,0.2823,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
Neutral,0.4968,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
Positive,0.1553,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
Very Positive,0.0222,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
Very Negative,0.0948,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
Negative,0.4459,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
Neutral,0.3704,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
Positive,0.0697,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
Very Positive,0.0191,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
Very Negative,0.0706,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
Negative,0.3222,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
Neutral,0.3132,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
Positive,0.2316,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
Very Positive,0.0625,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
Very Negative,0.2726,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
Negative,0.5970,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
Neutral,0.1050,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
Positive,0.0118,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
Very Positive,0.0136,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
Very Negative,0.0444,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
Negative,0.2005,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
Neutral,0.2726,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
Positive,0.4038,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
Very Positive,0.0788,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
Very Negative,0.0171,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
Negative,0.1732,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
Neutral,0.6751,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
Positive,0.1214,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
Very Positive,0.0133,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
Very Negative,0.0173,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
Negative,0.0345,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
Neutral,0.0741,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
Positive,0.5858,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
Very Positive,0.2884,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
Very Negative,0.0992,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
Negative,0.5500,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
Neutral,0.2574,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
Positive,0.0685,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
Very Positive,0.0248,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
Very Negative,0.0651,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
Negative,0.2735,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
Neutral,0.2767,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
Positive,0.3090,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
Very Positive,0.0756,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
Very Negative,0.1894,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
Negative,0.5467,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
Neutral,0.2108,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
Positive,0.0346,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
Very Positive,0.0186,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
Very Negative,0.0987,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
Negative,0.6593,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
Neutral,0.2041,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
Positive,0.0292,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
Very Positive,0.0086,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
Very Negative,0.0307,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
Negative,0.4198,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
Neutral,0.4860,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
Positive,0.0560,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
Very Positive,0.0076,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
Very Negative,0.0742,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
Negative,0.3539,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
Neutral,0.3407,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
Positive,0.1829,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
Very Positive,0.0483,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
Very Negative,0.1430,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
Negative,0.7376,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
Neutral,0.0986,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
Positive,0.0142,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
Very Positive,0.0067,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
Very Negative,0.1065,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
Negative,0.5508,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
Neutral,0.2688,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
Positive,0.0538,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
Very Positive,0.0201,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
Very Negative,0.0184,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
Negative,0.0523,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
Neutral,0.1461,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
Positive,0.6279,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
Very Positive,0.1553,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
Very Negative,0.0349,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
Negative,0.2699,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
Neutral,0.5209,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
Positive,0.1508,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
Very Positive,0.0236,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
Very Negative,0.1040,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
Negative,0.5998,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
Neutral,0.2106,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
Positive,0.0636,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
Very Positive,0.0220,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
Very Negative,0.1186,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
Negative,0.6452,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
Neutral,0.1403,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
Positive,0.0681,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
Very Positive,0.0279,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
Very Negative,0.0582,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
Negative,0.4749,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
Neutral,0.4084,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
Positive,0.0468,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
Very Positive,0.0118,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
Very Negative,0.0736,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
Negative,0.3443,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
Neutral,0.2794,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
Positive,0.2398,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
Very Positive,0.0629,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
Very Negative,0.1537,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
Negative,0.5690,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
Neutral,0.2180,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
Positive,0.0411,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
Very Positive,0.0183,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
Very Negative,0.0415,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
Negative,0.4748,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
Neutral,0.4319,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
Positive,0.0476,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
Very Positive,0.0042,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
Very Negative,0.1216,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
Negative,0.5449,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
Neutral,0.2583,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
Positive,0.0537,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
Very Positive,0.0215,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
Very Negative,0.0983,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
Negative,0.3954,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
Neutral,0.2531,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
Positive,0.1915,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
Very Positive,0.0618,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
Very Negative,0.0702,"00:03:28,292 --> 00:03:30,627","CONTROL: Hubble telescope engaged."
Negative,0.3767,"00:03:28,292 --> 00:03:30,627","CONTROL: Hubble telescope engaged."
